"","school","zip","state","county","total_STEM_degrees","total degrees Black","total degrees Native","total degrees AsianPI","total degrees Hispanic","total degrees White","id"
"951","University of Puget Sound","98416","Washington","Pierce",564,10,12,82,19,441,"Pierce, Washington"
"952","Pacific Lutheran University","98447","Washington","Pierce",839,19,7,57,41,715,"Pierce, Washington"
"953","St Martin's College","98503","Washington","Thurston",346,12,7,42,16,269,"Thurston, Washington"
"954","Central Washington University","98926","Washington","Kittitas",1924,36,19,80,149,1640,"Kittitas, Washington"
"955","Heritage College (Toppenish, WA)","98948","Washington","Yakima",41,1,6,4,15,15,"Yakima, Washington"
"956","Eastern Washington University","99004","Washington","Spokane",2284,53,35,137,189,1870,"Spokane, Washington"
"957","Whitworth College","99251","Washington","Spokane",531,10,5,20,15,481,"Spokane, Washington"
"958","Gonzaga University","99258","Washington","Spokane",1296,10,12,83,64,1127,"Spokane, Washington"
"959","Walla Walla College","99324","Washington","Walla Walla",600,12,9,39,39,501,"Walla Walla, Washington"
"960","Whitman College","99362","Washington","Walla Walla",460,4,2,52,22,380,"Walla Walla, Washington"
"961","Alaska Pacific University","99508","Alaska","Anchorage Borough",99,3,5,4,5,82,"Anchorage Borough, Alaska"
"962","Charter College","99508","Alaska","Anchorage Borough",93,12,11,8,1,61,"Anchorage Borough, Alaska"
"963","University of AK Anchorage, All Campuses","99508","Alaska","Anchorage Borough",1385,39,86,121,54,1085,"Anchorage Borough, Alaska"
"964","University of AK Fairbanks, All Campuses","99775","Alaska","Fairbanks North Star Borough",752,3,36,27,18,668,"Fairbanks North Star Borough, Alaska"
