 ,,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12
Union County, Pennsylvania,112,323,142,0,0,0
Venango County, Pennsylvania,9,609,43,0,0,0
Warren County, Pennsylvania,0,428,0,8,0,0
Washington County, Pennsylvania,33,2576,211,0,0,0
Wayne County, Pennsylvania,53,688,32,3,0,0
Westmoreland County, Pennsylvania,105,4541,97,0,14,0
Wyoming County, Pennsylvania,3,340,0,0,5,0
York County, Pennsylvania,529,4542,553,0,99,0
Bristol County, Rhode Island,0,684,27,0,17,0
Kent County, Rhode Island,79,1871,17,0,13,0
Newport County, Rhode Island,154,846,32,17,6,0
Providence County, Rhode Island,2221,4283,1072,39,437,0
Washington County, Rhode Island,140,1585,0,76,65,0
Abbeville County, South Carolina,30,142,98,0,2,0
Aiken County, South Carolina,183,1388,971,0,6,0
Allendale County, South Carolina,0,37,118,0,0,0
Anderson County, South Carolina,125,1555,657,12,17,0
Bamberg County, South Carolina,0,65,147,0,0,0
Barnwell County, South Carolina,0,139,389,0,0,0
Beaufort County, South Carolina,482,1351,504,0,65,0
Berkeley County, South Carolina,121,1042,716,74,36,0
Calhoun County, South Carolina,0,117,77,0,0,0
Charleston County, South Carolina,74,1656,1594,66,29,0
Cherokee County, South Carolina,51,600,219,0,0,0
Chester County, South Carolina,0,290,204,0,0,0
Chesterfield County, South Carolina,73,477,259,0,0,0
Clarendon County, South Carolina,41,223,449,0,0,0
Colleton County, South Carolina,43,166,481,0,0,0
Darlington County, South Carolina,53,557,650,4,0,0
Dillon County, South Carolina,3,116,160,13,0,0
Dorchester County, South Carolina,126,1327,800,54,52,11
Edgefield County, South Carolina,36,193,275,0,0,0
Fairfield County, South Carolina,0,74,506,0,0,0
Florence County, South Carolina,18,788,1127,0,14,0
Georgetown County, South Carolina,38,485,536,0,0,0
Greenville County, South Carolina,460,3443,1725,24,87,0
Greenwood County, South Carolina,44,537,329,0,0,0
Hampton County, South Carolina,29,51,162,6,0,0
Horry County, South Carolina,36,2050,646,70,12,0
Jasper County, South Carolina,26,76,99,0,0,0
Kershaw County, South Carolina,16,591,291,0,0,0
Lancaster County, South Carolina,76,510,520,0,0,0
Laurens County, South Carolina,0,264,142,0,0,0
Lee County, South Carolina,0,79,244,0,0,0
Lexington County, South Carolina,146,2505,672,0,54,0
McCormick County, South Carolina,0,39,63,0,0,0
Marion County, South Carolina,3,184,429,0,0,0
Marlboro County, South Carolina,7,138,203,5,0,0
Newberry County, South Carolina,12,184,215,0,0,0
Oconee County, South Carolina,22,700,85,0,6,0
Orangeburg County, South Carolina,22,436,929,9,0,0
Pickens County, South Carolina,116,1105,120,22,4,0
Richland County, South Carolina,497,2254,3892,0,158,21
Saluda County, South Carolina,35,146,54,0,0,0
Spartanburg County, South Carolina,91,2431,1017,0,136,0
Sumter County, South Carolina,19,464,1018,0,0,0
Union County, South Carolina,0,237,88,0,0,0
Williamsburg County, South Carolina,0,138,382,0,0,0
York County, South Carolina,152,2079,1003,24,61,0
Aurora County, South Dakota,0,23,0,0,7,0
Beadle County, South Dakota,19,222,0,0,28,0
Bennett County, South Dakota,0,14,0,45,0,0
Bon Homme County, South Dakota,1,91,4,8,9,0
Brookings County, South Dakota,0,149,0,0,0,0
Brown County, South Dakota,7,362,28,97,0,0
Brule County, South Dakota,0,95,0,9,0,0
Buffalo County, South Dakota,0,6,0,13,0,0
Butte County, South Dakota,11,82,0,0,0,0
Campbell County, South Dakota,0,31,0,0,0,0
Charles Mix County, South Dakota,3,106,0,113,0,0
Clark County, South Dakota,20,59,0,16,0,0
Clay County, South Dakota,0,74,0,5,0,0
Codington County, South Dakota,16,358,0,0,0,0
Corson County, South Dakota,0,17,0,23,0,0
Custer County, South Dakota,17,124,0,0,0,0
Davison County, South Dakota,0,117,0,0,0,0
Day County, South Dakota,0,52,0,12,0,0
Deuel County, South Dakota,0,100,0,0,0,0
Dewey County, South Dakota,0,19,0,85,0,0
Douglas County, South Dakota,1,37,0,1,0,0
Edmunds County, South Dakota,0,52,0,1,0,0
Fall River County, South Dakota,0,37,0,3,0,0
Faulk County, South Dakota,13,9,0,26,0,0
Grant County, South Dakota,0,86,0,8,2,0
Gregory County, South Dakota,0,34,0,3,0,0
Haakon County, South Dakota,0,29,0,11,0,0
Hamlin County, South Dakota,0,78,1,9,0,0
Hand County, South Dakota,0,66,0,0,0,0
Hanson County, South Dakota,0,15,0,3,0,0
Harding County, South Dakota,2,34,0,0,0,0
Hughes County, South Dakota,17,257,0,15,0,0
Hutchinson County, South Dakota,0,95,0,0,0,0
Hyde County, South Dakota,0,26,0,5,0,0
Jackson County, South Dakota,0,21,2,53,0,0
Jerauld County, South Dakota,0,33,0,0,0,0
Jones County, South Dakota,0,2,0,4,0,0
Kingsbury County, South Dakota,1,15,0,0,0,0
Lake County, South Dakota,2,59,0,1,0,0
Lawrence County, South Dakota,35,216,26,30,0,0
Lincoln County, South Dakota,0,477,77,0,22,0
Lyman County, South Dakota,0,12,0,40,14,0
McCook County, South Dakota,8,62,0,8,0,0
McPherson County, South Dakota,0,16,0,23,0,0
Marshall County, South Dakota,0,86,0,0,0,0
Meade County, South Dakota,21,203,0,0,0,0
Mellette County, South Dakota,0,21,0,14,0,0
Miner County, South Dakota,0,45,0,0,0,0
Minnehaha County, South Dakota,121,2015,140,64,62,0
Moody County, South Dakota,0,60,0,5,0,0
Pennington County, South Dakota,12,906,0,122,19,0
Perkins County, South Dakota,0,28,0,0,0,0
Potter County, South Dakota,0,11,0,0,0,0
Roberts County, South Dakota,0,46,3,76,0,0
Sanborn County, South Dakota,0,38,0,0,0,0
Shannon County, South Dakota,25,0,0,275,0,0
Spink County, South Dakota,0,108,0,3,0,0
Stanley County, South Dakota,0,50,0,18,0,0
Sully County, South Dakota,0,6,0,0,0,0
Todd County, South Dakota,20,0,0,166,0,0
Tripp County, South Dakota,0,43,0,7,1,0
Turner County, South Dakota,3,116,4,0,0,0
Union County, South Dakota,4,160,0,4,2,0
Walworth County, South Dakota,0,44,0,0,0,22
Yankton County, South Dakota,0,382,0,38,0,0
Ziebach County, South Dakota,14,8,0,55,0,0
Anderson County, Tennessee,7,842,41,0,0,0
Bedford County, Tennessee,105,486,41,0,0,0
Benton County, Tennessee,17,208,21,0,0,0
Bledsoe County, Tennessee,0,190,36,0,0,0
Blount County, Tennessee,72,1413,64,0,14,0
Bradley County, Tennessee,49,1117,53,0,44,0
Campbell County, Tennessee,10,514,0,0,13,0
Cannon County, Tennessee,0,177,0,0,0,0
Carroll County, Tennessee,20,296,24,0,0,0
Carter County, Tennessee,59,569,0,0,0,0
Cheatham County, Tennessee,10,619,0,0,0,0
Chester County, Tennessee,0,316,23,0,0,0
Claiborne County, Tennessee,0,532,0,0,13,0
Clay County, Tennessee,0,84,0,0,0,0
Cocke County, Tennessee,0,391,2,0,16,0
Coffee County, Tennessee,41,924,24,0,0,0
Crockett County, Tennessee,18,145,16,0,0,0
Cumberland County, Tennessee,30,532,0,0,0,0
Davidson County, Tennessee,843,2750,3099,43,210,8
Decatur County, Tennessee,23,145,29,0,0,0
DeKalb County, Tennessee,0,190,0,0,0,0
Dickson County, Tennessee,50,677,37,0,0,0
Dyer County, Tennessee,52,444,204,2,0,0
Fayette County, Tennessee,9,281,149,0,8,0
Fentress County, Tennessee,0,189,5,0,0,0
Franklin County, Tennessee,0,605,28,0,0,0
Gibson County, Tennessee,15,543,128,0,0,0
Giles County, Tennessee,0,259,101,0,0,0
Grainger County, Tennessee,15,250,0,0,0,0
Greene County, Tennessee,0,781,26,0,0,0
Grundy County, Tennessee,0,77,0,0,0,0
Hamblen County, Tennessee,57,571,4,0,24,0
Hamilton County, Tennessee,244,2722,1185,22,200,0
Hancock County, Tennessee,0,84,4,0,0,0
Hardeman County, Tennessee,0,145,242,0,0,0
Hardin County, Tennessee,58,429,46,0,0,0
Hawkins County, Tennessee,0,500,0,0,0,0
Haywood County, Tennessee,26,82,274,0,0,0
Henderson County, Tennessee,0,396,79,0,0,0
Henry County, Tennessee,23,364,68,0,0,0
Hickman County, Tennessee,0,334,49,0,1,0
Houston County, Tennessee,5,128,6,0,0,0
Humphreys County, Tennessee,41,225,4,0,0,0
Jackson County, Tennessee,0,76,0,0,0,0
Jefferson County, Tennessee,67,473,12,0,0,0
Johnson County, Tennessee,0,198,8,0,0,0
Knox County, Tennessee,111,3838,843,12,246,0
Lake County, Tennessee,15,55,80,11,4,0
Lauderdale County, Tennessee,0,162,240,0,0,0
Lawrence County, Tennessee,0,510,15,0,0,0
Lewis County, Tennessee,0,258,0,0,0,0
Lincoln County, Tennessee,15,357,144,0,0,0
Loudon County, Tennessee,97,398,7,0,20,0
McMinn County, Tennessee,15,699,94,0,17,0
McNairy County, Tennessee,0,396,0,0,0,0
Macon County, Tennessee,16,230,0,0,0,0
Madison County, Tennessee,104,704,809,64,47,0
Marion County, Tennessee,0,207,15,0,0,0
Marshall County, Tennessee,9,259,8,5,0,0
Maury County, Tennessee,9,1044,170,50,0,0
Meigs County, Tennessee,0,122,0,0,0,0
Monroe County, Tennessee,46,530,38,0,16,0
Montgomery County, Tennessee,402,1407,470,0,24,23
Moore County, Tennessee,0,141,0,0,0,0
Morgan County, Tennessee,0,277,9,0,0,0
Obion County, Tennessee,8,221,11,0,0,0
Overton County, Tennessee,0,228,16,0,0,0
Perry County, Tennessee,0,71,17,0,0,0
Pickett County, Tennessee,0,14,0,0,0,0
Polk County, Tennessee,3,176,10,0,0,0
Putnam County, Tennessee,97,679,60,0,15,0
Rhea County, Tennessee,9,329,1,0,0,0
Roane County, Tennessee,6,487,0,0,0,0
Robertson County, Tennessee,39,1011,63,0,8,41
Rutherford County, Tennessee,219,2728,401,0,110,0
Scott County, Tennessee,0,283,0,0,0,0
Sequatchie County, Tennessee,0,234,0,6,0,0
Sevier County, Tennessee,28,1002,16,13,8,0
Shelby County, Tennessee,528,4405,10277,0,303,0
Smith County, Tennessee,0,227,7,0,0,0
Stewart County, Tennessee,21,160,33,0,0,0
Sullivan County, Tennessee,63,1778,22,0,1,0
Sumner County, Tennessee,76,1870,197,15,11,0
Tipton County, Tennessee,0,830,341,0,0,0
Trousdale County, Tennessee,0,91,16,19,0,0
Unicoi County, Tennessee,0,223,0,0,0,0
Union County, Tennessee,0,229,0,0,0,45
Van Buren County, Tennessee,0,63,0,0,0,0
Warren County, Tennessee,74,600,9,0,0,0
Washington County, Tennessee,70,1484,72,24,0,0
Wayne County, Tennessee,0,150,8,0,0,0
Weakley County, Tennessee,20,252,117,0,0,0
White County, Tennessee,0,366,9,0,0,0
Williamson County, Tennessee,266,2819,169,0,111,0
Wilson County, Tennessee,65,1578,100,0,0,0
Anderson County, Texas,236,503,634,20,0,0
Andrews County, Texas,265,63,0,0,5,0
Angelina County, Texas,284,681,297,0,0,0
Aransas County, Texas,111,84,14,0,0,0
Archer County, Texas,24,131,0,13,0,0
Armstrong County, Texas,0,19,0,2,0,0
Atascosa County, Texas,484,183,0,0,0,0
Austin County, Texas,243,359,46,0,0,0
Bailey County, Texas,95,6,0,0,0,0
Bandera County, Texas,33,206,0,0,0,0
Bastrop County, Texas,264,390,78,0,0,0
Baylor County, Texas,13,105,0,5,0,0
Bee County, Texas,367,196,69,0,12,0
Bell County, Texas,1069,1377,1137,0,160,0
Bexar County, Texas,18405,6010,2459,291,580,0
Blanco County, Texas,10,151,0,0,0,0
Borden County, Texas,0,16,0,0,0,0
Bosque County, Texas,47,200,0,0,0,0
Bowie County, Texas,137,699,370,7,39,0
Brazoria County, Texas,1792,1889,822,17,362,0
Brazos County, Texas,599,731,555,8,96,0
Brewster County, Texas,54,35,0,0,0,0
Briscoe County, Texas,8,0,0,0,0,0
Brooks County, Texas,144,9,0,0,0,0
Brown County, Texas,113,191,63,0,0,0
Burleson County, Texas,98,150,21,0,0,0
Burnet County, Texas,243,534,0,12,0,0
Caldwell County, Texas,463,334,49,10,0,0
Calhoun County, Texas,202,148,38,0,0,0
Callahan County, Texas,49,328,5,0,0,0
Cameron County, Texas,6709,416,60,15,74,0
Camp County, Texas,32,83,5,0,0,0
Carson County, Texas,30,112,1,0,0,0
Cass County, Texas,29,278,109,0,0,0
Castro County, Texas,72,29,0,0,0,0
Chambers County, Texas,52,337,0,0,0,0
Cherokee County, Texas,238,329,175,0,0,0
Childress County, Texas,6,19,1,0,0,0
Clay County, Texas,16,194,10,0,0,0
Cochran County, Texas,30,20,1,0,0,0
Coke County, Texas,10,24,0,0,0,0
Coleman County, Texas,20,52,0,2,0,0
Collin County, Texas,2082,6271,1502,55,995,11
Collingsworth County, Texas,0,10,0,0,0,0
Colorado County, Texas,0,152,87,0,7,0
Comal County, Texas,409,1014,108,0,16,0
Comanche County, Texas,80,85,13,0,0,0
Concho County, Texas,8,48,0,0,0,0
Cooke County, Texas,22,512,25,0,0,0
Coryell County, Texas,219,812,281,0,17,0
Cottle County, Texas,15,36,7,0,0,0
Crane County, Texas,57,63,0,0,0,0
Crockett County, Texas,32,13,0,0,0,0
Crosby County, Texas,71,46,0,0,0,0
Culberson County, Texas,9,17,0,0,0,0
Dallam County, Texas,57,62,0,12,0,0
Dallas County, Texas,16398,7901,8800,126,1534,10
Dawson County, Texas,175,30,34,45,0,0
Deaf Smith County, Texas,205,22,5,0,3,0
Delta County, Texas,4,24,23,0,0,0
Denton County, Texas,2050,5583,656,65,546,0
DeWitt County, Texas,103,49,57,0,0,0
Dickens County, Texas,7,17,0,0,0,0
Dimmit County, Texas,268,0,0,0,0,0
Donley County, Texas,0,26,0,0,0,0
Duval County, Texas,110,0,1,0,0,0
Eastland County, Texas,43,100,0,0,0,0
Ector County, Texas,1239,333,36,23,27,0
Edwards County, Texas,47,0,0,0,0,0
Ellis County, Texas,809,1526,294,83,1,0
El Paso County, Texas,14402,1068,444,59,109,52
Erath County, Texas,299,436,9,46,0,0
Falls County, Texas,201,132,79,0,0,0
Fannin County, Texas,73,392,53,2,0,0
Fayette County, Texas,12,159,7,0,0,0
Fisher County, Texas,17,103,8,0,0,0
Floyd County, Texas,50,30,2,0,0,0
Foard County, Texas,0,8,0,0,0,0
Fort Bend County, Texas,2285,3639,2557,0,1375,0
Franklin County, Texas,22,100,0,0,0,0
Freestone County, Texas,38,73,107,29,3,0
Frio County, Texas,276,33,40,0,0,0
Gaines County, Texas,165,46,0,2,0,0
Galveston County, Texas,1450,1984,881,12,122,0
Garza County, Texas,109,67,0,0,0,0
Gillespie County, Texas,95,97,0,0,0,0
Glasscock County, Texas,0,16,0,0,0,0
Goliad County, Texas,22,36,8,0,0,0
Gonzales County, Texas,196,91,25,0,0,0
Gray County, Texas,79,219,40,0,0,0
Grayson County, Texas,222,1230,40,17,11,0
Gregg County, Texas,424,908,473,0,25,0
Grimes County, Texas,167,237,21,24,0,0
Guadalupe County, Texas,984,1002,75,47,24,0
Hale County, Texas,366,145,55,2,0,0
Hall County, Texas,0,12,21,0,0,0
Hamilton County, Texas,61,69,0,0,0,0
Hansford County, Texas,70,74,0,0,0,0
Hardeman County, Texas,7,25,6,0,0,0
Hardin County, Texas,27,656,85,0,17,0
Harris County, Texas,29035,18023,15014,237,2852,175
Harrison County, Texas,69,378,158,0,0,0
Hartley County, Texas,55,80,34,0,0,0
Haskell County, Texas,1,8,4,0,0,0
Hays County, Texas,1256,1388,26,0,0,0
Hemphill County, Texas,13,41,0,0,0,0
Henderson County, Texas,164,667,29,44,0,0
Hidalgo County, Texas,13914,414,122,6,97,0
Hill County, Texas,163,318,39,24,0,0
Hockley County, Texas,300,152,23,0,3,0
Hood County, Texas,73,402,17,38,0,0
Hopkins County, Texas,83,284,30,0,16,0
Houston County, Texas,39,100,171,0,0,0
Howard County, Texas,291,277,1,9,12,0
Hudspeth County, Texas,48,13,4,0,0,0
Hunt County, Texas,196,709,159,24,0,0
Hutchinson County, Texas,73,167,6,5,0,0
Irion County, Texas,0,0,0,0,0,0
Jack County, Texas,31,103,20,0,0,0
Jackson County, Texas,52,131,43,0,0,0
Jasper County, Texas,24,290,103,41,0,0
Jeff Davis County, Texas,14,21,0,0,0,0
Jefferson County, Texas,733,1158,1457,28,161,0
Jim Hogg County, Texas,77,0,0,0,0,0
Jim Wells County, Texas,490,51,1,9,0,0
Johnson County, Texas,570,1686,84,8,0,0
Jones County, Texas,162,142,81,0,2,0
Karnes County, Texas,128,96,113,0,0,0
Kaufman County, Texas,372,911,191,0,8,27
Kendall County, Texas,143,443,0,0,0,0
Kenedy County, Texas,10,0,0,0,0,0
Kent County, Texas,3,9,0,0,0,0
Kerr County, Texas,191,212,8,0,0,0
Kimble County, Texas,54,38,9,0,0,0
King County, Texas,2,7,0,0,0,0
Kinney County, Texas,59,20,4,0,0,0
Kleberg County, Texas,413,63,0,0,0,0
Knox County, Texas,9,26,12,0,0,0
Lamar County, Texas,63,464,76,0,31,0
Lamb County, Texas,110,106,13,0,0,0
Lampasas County, Texas,101,252,0,7,0,0
La Salle County, Texas,139,0,0,0,0,0
Lavaca County, Texas,47,155,0,0,0,0
Lee County, Texas,47,223,57,0,0,0
Leon County, Texas,59,82,38,0,0,0
Liberty County, Texas,278,779,174,0,0,0
Limestone County, Texas,80,114,54,0,0,0
Lipscomb County, Texas,32,45,3,0,0,0
Live Oak County, Texas,101,96,11,0,0,0
Llano County, Texas,70,213,48,0,0,0
Loving County, Texas,0,0,0,0,0,0
Lubbock County, Texas,1390,1601,289,40,80,0
Lynn County, Texas,43,46,0,0,0,0
McCulloch County, Texas,67,22,0,9,0,0
McLennan County, Texas,964,1482,629,8,11,0
McMullen County, Texas,0,0,0,0,0,0
Madison County, Texas,52,144,35,0,0,0
Marion County, Texas,0,29,62,0,0,0
Martin County, Texas,46,83,0,0,0,0
Mason County, Texas,10,46,0,0,0,0
Matagorda County, Texas,346,278,149,0,35,0
Maverick County, Texas,1571,27,0,0,0,0
Medina County, Texas,530,343,137,4,0,0
Menard County, Texas,47,87,0,0,0,0
Midland County, Texas,790,875,179,117,115,0
Milam County, Texas,163,149,0,11,0,0
Mills County, Texas,5,90,0,0,0,0
Mitchell County, Texas,57,50,122,0,0,0
Montague County, Texas,52,229,0,17,0,0
Montgomery County, Texas,1734,4378,449,26,219,0
Moore County, Texas,227,118,15,0,0,0
Morris County, Texas,11,95,73,0,0,0
Motley County, Texas,6,11,7,0,0,0
Nacogdoches County, Texas,153,352,66,0,0,0
Navarro County, Texas,79,290,132,0,0,0
Newton County, Texas,11,135,47,0,0,0
Nolan County, Texas,110,146,38,0,0,0
Nueces County, Texas,3196,1094,251,21,83,0
Ochiltree County, Texas,79,87,0,0,0,0
Oldham County, Texas,8,20,0,0,0,0
Orange County, Texas,162,743,220,0,8,0
Palo Pinto County, Texas,70,201,0,21,0,0
Panola County, Texas,13,198,10,0,0,2
Parker County, Texas,228,1366,55,0,0,0
Parmer County, Texas,97,24,0,0,0,0
Pecos County, Texas,276,51,35,0,0,0
Polk County, Texas,123,462,111,7,0,0
Potter County, Texas,972,537,309,25,91,0
Presidio County, Texas,205,11,0,0,0,0
Rains County, Texas,22,127,0,0,0,0
Randall County, Texas,317,1120,47,0,9,0
Reagan County, Texas,35,10,0,0,0,0
Real County, Texas,20,100,0,0,0,0
Red River County, Texas,0,125,0,0,0,0
Reeves County, Texas,159,23,19,0,0,0
Refugio County, Texas,29,37,0,0,0,0
Roberts County, Texas,0,14,0,0,2,0
Robertson County, Texas,56,66,133,0,0,0
Rockwall County, Texas,420,657,10,31,19,0
Runnels County, Texas,82,168,0,0,0,0
Rusk County, Texas,92,408,182,0,0,0
Sabine County, Texas,0,119,0,0,0,0
San Augustine County, Texas,0,40,146,0,0,0
San Jacinto County, Texas,106,313,0,0,0,0
San Patricio County, Texas,728,472,5,0,37,0
San Saba County, Texas,59,38,0,0,0,0
Schleicher County, Texas,29,0,0,0,0,0
Scurry County, Texas,80,89,52,4,0,0
Shackelford County, Texas,10,40,0,0,0,0
Shelby County, Texas,74,152,5,0,0,0
Sherman County, Texas,50,31,2,0,0,0
Smith County, Texas,762,1171,586,0,36,0
Somervell County, Texas,26,161,10,0,0,0
Starr County, Texas,1294,19,0,0,0,0
Stephens County, Texas,43,8,0,0,0,0
Sterling County, Texas,14,14,0,0,0,0
Stonewall County, Texas,0,12,9,0,0,0
Sutton County, Texas,44,16,0,0,0,0
Swisher County, Texas,67,47,7,0,0,0
Tarrant County, Texas,9314,10864,4497,161,1058,155
Taylor County, Texas,522,805,295,0,10,0
Terrell County, Texas,4,0,0,0,0,0
Terry County, Texas,210,164,30,0,0,0
Throckmorton County, Texas,11,10,0,0,0,0
Titus County, Texas,230,155,31,0,0,0
Tom Green County, Texas,640,576,18,19,10,0
Travis County, Texas,5485,3567,1653,131,633,69
Trinity County, Texas,73,25,0,0,0,0
Tyler County, Texas,71,278,55,0,0,0
Upshur County, Texas,65,381,76,0,0,0
Upton County, Texas,3,15,0,0,0,0
Uvalde County, Texas,211,52,0,25,0,0
Val Verde County, Texas,683,27,0,24,0,0
Van Zandt County, Texas,106,503,29,3,0,28
Victoria County, Texas,466,471,28,0,14,0
Walker County, Texas,166,294,327,0,0,0
Waller County, Texas,172,136,165,0,0,0
Ward County, Texas,81,73,33,0,0,0
Washington County, Texas,47,223,130,0,0,0
Webb County, Texas,4121,57,8,15,0,0
Wharton County, Texas,287,277,191,15,0,0
Wheeler County, Texas,19,14,2,0,0,0
Wichita County, Texas,401,895,175,7,56,0
Wilbarger County, Texas,127,52,10,0,0,0
Willacy County, Texas,326,46,16,0,0,0
Williamson County, Texas,1945,3361,480,10,244,10
Wilson County, Texas,408,280,20,0,0,0
Winkler County, Texas,4,15,0,0,0,0
Wise County, Texas,220,716,8,0,19,0
Wood County, Texas,58,266,5,0,27,0
Yoakum County, Texas,5,15,0,0,6,0
Young County, Texas,52,155,0,0,0,0
Zapata County, Texas,161,0,0,0,0,0
Zavala County, Texas,153,0,0,0,0,0
Beaver County, Utah,23,109,0,0,0,0
Box Elder County, Utah,123,848,36,15,0,0
Cache County, Utah,123,1260,25,0,23,0
Carbon County, Utah,47,294,10,0,0,0
Daggett County, Utah,1,0,0,1,0,0
Davis County, Utah,739,4422,148,3,148,91
Duchesne County, Utah,17,210,0,10,0,0
Emery County, Utah,0,153,0,0,0,0
Garfield County, Utah,39,79,0,41,0,0
Grand County, Utah,59,77,0,0,0,0
Iron County, Utah,47,752,45,55,0,39
Juab County, Utah,2,210,0,6,0,0
Kane County, Utah,3,117,0,2,0,0
Millard County, Utah,59,177,0,0,0,0
Morgan County, Utah,5,184,0,0,0,0
Piute County, Utah,34,18,0,0,0,0
Rich County, Utah,0,32,0,0,0,0
Salt Lake County, Utah,4426,10545,665,215,561,467
San Juan County, Utah,14,165,0,211,0,0
Sanpete County, Utah,83,309,0,18,0,0
Sevier County, Utah,15,318,5,17,0,0
Summit County, Utah,115,564,0,8,29,3
Tooele County, Utah,72,726,12,0,0,0
Uintah County, Utah,25,383,0,19,0,0
Utah County, Utah,1218,7490,30,42,87,140
Wasatch County, Utah,63,284,8,0,3,0
Washington County, Utah,279,1608,35,84,24,37
Wayne County, Utah,0,51,0,0,0,0
Weber County, Utah,756,2342,36,14,16,52
Addison County, Vermont,0,473,5,0,0,0
Bennington County, Vermont,13,523,0,0,0,0
Caledonia County, Vermont,3,369,0,5,0,0
Chittenden County, Vermont,29,1701,78,21,74,0
Essex County, Vermont,5,62,1,0,0,0
Franklin County, Vermont,35,724,0,0,0,0
Grand Isle County, Vermont,0,56,0,0,0,0
Lamoille County, Vermont,2,245,0,0,0,0
Orange County, Vermont,0,395,0,8,0,0
Orleans County, Vermont,15,384,19,0,0,0
Rutland County, Vermont,0,824,2,0,2,0
Washington County, Vermont,34,730,4,10,10,0
Windham County, Vermont,46,608,0,0,27,0
Windsor County, Vermont,8,536,3,0,15,0
Accomack County, Virginia,13,162,166,6,0,0
Albemarle County, Virginia,24,826,202,0,35,0
Alleghany County, Virginia,0,188,16,0,0,0
Amelia County, Virginia,0,142,11,0,0,0
Amherst County, Virginia,0,343,161,0,0,0
Appomattox County, Virginia,10,126,17,0,0,0
Arlington County, Virginia,384,749,325,79,185,0
Augusta County, Virginia,17,1022,91,0,0,26
Bath County, Virginia,0,16,0,0,0,0
Bedford County, Virginia,0,647,10,0,0,0
Bland County, Virginia,0,85,26,0,0,0
Botetourt County, Virginia,30,295,38,0,0,0
Brunswick County, Virginia,6,18,247,0,0,0
Buchanan County, Virginia,0,260,15,0,0,0
Buckingham County, Virginia,0,191,124,0,0,0
Campbell County, Virginia,0,843,217,0,44,0
Caroline County, Virginia,5,187,91,0,0,0
Carroll County, Virginia,0,362,0,0,0,0
Charles City County, Virginia,5,44,112,2,0,0
Charlotte County, Virginia,0,114,54,0,0,0
Chesterfield County, Virginia,505,2939,1412,0,218,10
Clarke County, Virginia,3,229,8,0,0,0
Craig County, Virginia,0,4,0,0,0,0
Culpeper County, Virginia,23,458,61,0,6,0
Cumberland County, Virginia,0,94,107,0,0,0
Dickenson County, Virginia,0,161,0,0,0,0
Dinwiddie County, Virginia,43,125,196,0,0,0
Essex County, Virginia,15,104,59,0,0,0
Fairfax County, Virginia,2910,7163,1723,41,2403,47
Fauquier County, Virginia,41,753,31,0,45,0
Floyd County, Virginia,0,236,23,0,0,0
Fluvanna County, Virginia,0,242,15,0,0,0
Franklin County, Virginia,39,434,52,0,0,0
Frederick County, Virginia,163,1106,118,0,0,0
Giles County, Virginia,13,147,0,0,0,0
Gloucester County, Virginia,42,309,62,0,15,0
Goochland County, Virginia,0,145,49,0,0,0
Grayson County, Virginia,0,179,0,0,0,47
Greene County, Virginia,52,177,0,0,0,0
Greensville County, Virginia,7,20,87,0,0,0
Halifax County, Virginia,0,212,312,0,0,0
Hanover County, Virginia,10,1044,201,5,16,0
Henrico County, Virginia,94,2104,1721,43,174,0
Henry County, Virginia,24,617,254,0,3,0
Highland County, Virginia,0,29,0,0,0,0
Isle of Wight County, Virginia,8,375,168,0,0,0
James City County, Virginia,25,622,126,0,35,0
King and Queen County, Virginia,15,14,0,0,0,0
King George County, Virginia,0,230,73,0,0,0
King William County, Virginia,0,153,86,0,0,0
Lancaster County, Virginia,0,71,16,0,0,0
Lee County, Virginia,0,267,24,0,0,0
Loudoun County, Virginia,1041,3016,364,9,596,13
Louisa County, Virginia,0,260,162,0,0,0
Lunenburg County, Virginia,7,116,45,0,0,5
Madison County, Virginia,0,290,18,0,16,0
Mathews County, Virginia,0,23,0,27,0,0
Mecklenburg County, Virginia,0,136,262,0,3,0
Middlesex County, Virginia,0,64,55,0,0,0
Montgomery County, Virginia,0,685,16,0,0,0
Nelson County, Virginia,0,62,0,0,0,0
New Kent County, Virginia,21,156,38,0,0,0
Northampton County, Virginia,5,77,112,0,0,0
Northumberland County, Virginia,0,97,101,0,0,0
Nottoway County, Virginia,0,75,138,0,0,0
Orange County, Virginia,28,372,68,0,0,0
Page County, Virginia,0,424,5,0,0,0
Patrick County, Virginia,8,152,9,0,0,0
Pittsylvania County, Virginia,16,465,320,0,0,0
Powhatan County, Virginia,44,295,115,0,0,0
Prince Edward County, Virginia,23,118,151,0,0,0
Prince George County, Virginia,153,327,220,0,0,0
Prince William County, Virginia,1692,2422,1199,31,540,0
Pulaski County, Virginia,0,253,25,0,0,0
Rappahannock County, Virginia,0,59,0,0,0,0
Richmond County, Virginia,0,70,156,0,0,0
Roanoke County, Virginia,50,1392,42,0,31,0
Rockbridge County, Virginia,0,248,8,0,0,0
Rockingham County, Virginia,56,701,62,0,9,0
Russell County, Virginia,0,321,1,0,0,0
Scott County, Virginia,0,220,0,0,0,0
