 ,,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12
Walton County, Florida,36,502,94,0,25,0
Washington County, Florida,0,135,52,1,0,0
Appling County, Georgia,0,181,101,0,0,0
Atkinson County, Georgia,16,100,50,0,0,0
Bacon County, Georgia,0,72,72,0,0,0
Baker County, Georgia,0,22,10,0,0,0
Baldwin County, Georgia,37,199,157,0,0,0
Banks County, Georgia,36,195,0,0,19,0
Barrow County, Georgia,23,600,189,14,24,0
Bartow County, Georgia,149,1271,220,32,15,10
Ben Hill County, Georgia,0,69,105,0,0,0
Berrien County, Georgia,0,274,42,0,21,0
Bibb County, Georgia,4,528,1497,0,47,0
Bleckley County, Georgia,0,99,6,0,0,0
Brantley County, Georgia,0,153,3,0,43,0
Brooks County, Georgia,7,87,73,0,0,0
Bryan County, Georgia,15,427,81,0,14,0
Bulloch County, Georgia,0,342,278,0,0,0
Burke County, Georgia,0,90,251,0,0,0
Butts County, Georgia,6,221,158,0,0,0
Calhoun County, Georgia,6,21,215,0,0,0
Camden County, Georgia,54,549,122,0,0,0
Candler County, Georgia,45,161,12,0,0,0
Carroll County, Georgia,186,1388,457,0,13,0
Catoosa County, Georgia,33,708,89,0,42,0
Charlton County, Georgia,43,115,53,0,0,0
Chatham County, Georgia,161,995,1658,54,87,0
Chattahoochee County, Georgia,22,246,48,0,17,0
Chattooga County, Georgia,1,340,11,0,0,0
Cherokee County, Georgia,507,2278,357,0,101,0
Clarke County, Georgia,224,201,715,0,0,0
Clay County, Georgia,0,3,18,0,0,0
Clayton County, Georgia,393,268,3679,0,262,0
Clinch County, Georgia,0,70,26,0,0,0
Cobb County, Georgia,1495,5190,3472,0,310,9
Coffee County, Georgia,15,230,186,0,0,0
Colquitt County, Georgia,176,403,322,0,0,0
Columbia County, Georgia,184,1068,465,0,62,0
Cook County, Georgia,5,91,168,0,0,0
Coweta County, Georgia,283,1475,539,2,13,0
Crawford County, Georgia,0,181,53,0,0,0
Crisp County, Georgia,14,105,167,0,24,0
Dade County, Georgia,0,174,3,0,0,0
Dawson County, Georgia,0,352,0,0,0,0
Decatur County, Georgia,0,144,211,0,0,0
DeKalb County, Georgia,840,1195,6066,21,333,0
Dodge County, Georgia,21,185,56,0,0,0
Dooly County, Georgia,31,42,171,0,0,0
Dougherty County, Georgia,97,198,1399,0,0,0
Douglas County, Georgia,147,800,1294,0,27,0
Early County, Georgia,0,83,146,0,0,0
Echols County, Georgia,4,88,0,0,0,0
Effingham County, Georgia,16,793,93,0,0,0
Elbert County, Georgia,21,153,62,0,0,0
Emanuel County, Georgia,18,162,111,0,0,0
Evans County, Georgia,0,41,106,0,0,0
Fannin County, Georgia,0,315,0,0,0,0
Fayette County, Georgia,194,1403,405,7,207,22
Floyd County, Georgia,111,869,187,35,10,0
Forsyth County, Georgia,289,1817,108,0,197,0
Franklin County, Georgia,0,103,27,5,0,0
Fulton County, Georgia,1061,4474,7836,3,478,0
Gilmer County, Georgia,25,314,10,0,0,0
Glascock County, Georgia,0,35,0,0,0,0
Glynn County, Georgia,74,361,471,0,0,0
Gordon County, Georgia,196,757,0,0,0,0
Grady County, Georgia,44,185,136,0,0,0
Greene County, Georgia,107,55,73,0,0,0
Gwinnett County, Georgia,2430,4960,4555,17,1303,63
Habersham County, Georgia,142,389,181,0,0,0
Hall County, Georgia,759,1447,222,0,99,0
Hancock County, Georgia,8,0,172,0,0,0
Haralson County, Georgia,0,244,94,0,0,0
Harris County, Georgia,0,392,169,0,0,0
Hart County, Georgia,0,109,142,0,0,0
Heard County, Georgia,0,168,0,0,0,0
Henry County, Georgia,440,1592,1627,0,72,0
Houston County, Georgia,72,1189,784,0,35,0
Irwin County, Georgia,0,62,54,0,0,0
Jackson County, Georgia,130,478,87,0,56,4
Jasper County, Georgia,0,219,45,0,0,0
Jeff Davis County, Georgia,37,137,28,0,0,0
Jefferson County, Georgia,43,29,259,0,0,0
Jenkins County, Georgia,0,56,22,0,0,0
Johnson County, Georgia,0,56,99,0,21,0
Jones County, Georgia,138,156,32,0,0,0
Lamar County, Georgia,0,143,115,0,0,0
Lanier County, Georgia,10,24,1,0,0,0
Laurens County, Georgia,0,359,205,0,12,0
Lee County, Georgia,0,318,80,0,18,0
Liberty County, Georgia,46,115,384,0,0,0
Lincoln County, Georgia,0,41,17,0,0,0
Long County, Georgia,0,64,48,0,0,0
Lowndes County, Georgia,86,706,948,0,24,8
Lumpkin County, Georgia,81,255,117,0,28,0
McDuffie County, Georgia,0,250,213,0,0,0
McIntosh County, Georgia,0,114,40,22,0,0
Macon County, Georgia,0,65,114,0,0,0
Madison County, Georgia,31,300,17,10,0,0
Marion County, Georgia,57,29,43,0,0,0
Meriwether County, Georgia,2,220,48,0,0,0
Miller County, Georgia,0,38,42,0,0,0
Mitchell County, Georgia,16,170,225,0,0,0
Monroe County, Georgia,24,401,155,0,0,0
Montgomery County, Georgia,0,108,65,0,0,0
Morgan County, Georgia,0,248,118,0,0,0
Murray County, Georgia,56,419,0,0,0,0
Muscogee County, Georgia,179,613,1739,0,30,0
Newton County, Georgia,265,601,1307,0,0,0
Oconee County, Georgia,15,628,89,0,27,0
Oglethorpe County, Georgia,32,246,53,0,0,0
Paulding County, Georgia,95,1335,591,0,0,0
Peach County, Georgia,28,187,170,0,0,0
Pickens County, Georgia,0,372,3,0,0,0
Pierce County, Georgia,8,90,112,0,0,0
Pike County, Georgia,0,228,24,0,0,0
Polk County, Georgia,46,287,160,0,0,0
Pulaski County, Georgia,13,109,74,0,0,0
Putnam County, Georgia,0,126,93,0,0,0
Quitman County, Georgia,0,0,29,0,0,0
Rabun County, Georgia,0,241,26,0,0,0
Randolph County, Georgia,0,20,8,0,0,0
Richmond County, Georgia,89,874,1659,0,43,0
Rockdale County, Georgia,128,665,1316,17,14,0
Schley County, Georgia,0,35,20,0,0,0
Screven County, Georgia,17,69,116,0,0,0
Seminole County, Georgia,6,47,39,0,5,0
Spalding County, Georgia,11,243,586,30,39,0
Stephens County, Georgia,0,224,68,0,0,0
Stewart County, Georgia,0,24,104,0,0,0
Sumter County, Georgia,15,58,436,0,0,0
Talbot County, Georgia,11,0,166,0,0,0
Taliaferro County, Georgia,9,3,17,0,0,0
Tattnall County, Georgia,0,300,121,0,0,0
Taylor County, Georgia,2,47,88,0,0,0
Telfair County, Georgia,0,141,166,0,0,0
Terrell County, Georgia,0,27,84,0,0,0
Thomas County, Georgia,0,251,565,0,0,0
Tift County, Georgia,110,163,208,0,0,0
Toombs County, Georgia,51,277,84,0,0,0
Towns County, Georgia,0,181,0,0,0,0
Treutlen County, Georgia,0,40,30,0,0,0
Troup County, Georgia,14,494,485,0,14,0
Turner County, Georgia,0,23,53,0,0,0
Twiggs County, Georgia,0,84,75,0,0,0
Union County, Georgia,0,141,17,0,0,0
Upson County, Georgia,28,337,196,0,0,0
Walker County, Georgia,7,671,18,16,0,0
Walton County, Georgia,119,843,335,11,0,0
Ware County, Georgia,26,322,186,0,0,0
Warren County, Georgia,0,24,71,0,0,0
Washington County, Georgia,36,39,132,0,0,0
Wayne County, Georgia,29,277,106,0,0,0
Webster County, Georgia,0,0,29,0,0,0
Wheeler County, Georgia,0,23,5,0,0,0
White County, Georgia,26,302,6,0,0,0
Whitfield County, Georgia,742,566,3,13,0,0
Wilcox County, Georgia,19,19,52,0,0,0
Wilkes County, Georgia,0,105,51,0,0,0
Wilkinson County, Georgia,5,47,58,0,0,0
Worth County, Georgia,0,77,61,0,0,0
Hawaii County, Hawaii,247,442,14,0,473,386
Honolulu County, Hawaii,1683,911,358,89,4486,1692
Kalawao County, Hawaii,0,0,0,0,0,0
Kauai County, Hawaii,163,78,0,0,490,97
Maui County, Hawaii,259,312,7,0,542,343
Ada County, Idaho,631,4411,5,28,72,50
Adams County, Idaho,0,37,0,0,0,0
Bannock County, Idaho,166,821,13,59,7,0
Bear Lake County, Idaho,10,52,0,0,0,0
Benewah County, Idaho,34,49,1,5,0,0
Bingham County, Idaho,91,444,0,38,0,0
Blaine County, Idaho,68,158,0,0,0,0
Boise County, Idaho,1,32,2,0,0,0
Bonner County, Idaho,5,399,0,0,0,0
Bonneville County, Idaho,330,1576,13,0,0,12
Boundary County, Idaho,32,30,0,0,0,0
Butte County, Idaho,5,66,16,0,0,0
