"","school","city","state","zip","total STEM degrees","total degrees Black","total degrees Native","total degrees AsianPI","total degrees Hispanic","total degrees White"
"597","Oklahoma Panhandle State University","Goodwell","Oklahoma","73939",426,17,29,1,32,347
"809","Swarthmore College","Swarthmore","Pennsylvania","19081",426,27,4,108,35,252
"286","Florida Southern College","Lakeland","Florida","33801",425,30,4,15,27,349
"340","Hendrix College","Conway","Arkansas","72032",425,18,4,26,13,364
"1006","University of the District of Columbia","Washington","District of Columbia","20008",424,322,1,39,22,40
"658","Rhodes College","Memphis","Tennessee","38112",423,26,3,48,15,331
"727","Southern Nazarene University","Bethany","Oklahoma","73008",422,33,23,20,19,327
"749","St Edward's University","Austin","Texas","78704",422,16,4,28,146,228
"62","Bellin College of Nursing","Green Bay","Wisconsin","54305",420,2,1,13,4,400
"733","Southwest Baptist University","Bolivar","Missouri","65613",415,10,4,5,1,395
"302","George Fox College","Newberg","Oregon","97132",414,5,8,27,15,359
"405","Kansas Newman College","Wichita","Kansas","67213",414,12,3,32,31,336
"206","Connecticut College","New London","Connecticut","6320",412,17,1,26,24,344
"242","Dixie College","Saint George","Utah","84770",412,1,2,5,9,395
"10","Alma College","Alma","Michigan","48801",411,3,1,6,12,389
"154","Christian Brothers University","Memphis","Tennessee","38104",411,81,1,40,11,278
"851","Unity College","Unity","Maine","4988",410,6,2,3,5,394
"620","Pennsylvania State U, Altoona Campus","Altoona","Pennsylvania","16601",409,7,2,4,10,386
"1100","William Jewell College","Liberty","Missouri","64068",408,14,2,22,10,360
"272","Emmanuel College (Boston, MA)","Boston","Massachusetts","2115",406,46,4,27,13,316
"333","Hardin-Simmons University","Abilene","Texas","79698",406,12,5,6,38,345
"773","St Vincent College and Seminary","Latrobe","Pennsylvania","15650",404,5,1,5,5,388
"1098","Willamette University","Salem","Oregon","97301",404,7,2,55,19,321
"128","Canisius College","Buffalo","New York","14208",403,8,3,13,6,373
"188","College of Wooster","Wooster","Ohio","44691",403,14,4,16,6,363
"55","Baylor College of Dentistry","Dallas","Texas","75246",402,9,1,27,32,333
"404","Kalamazoo College","Kalamazoo","Michigan","49007",400,18,2,34,14,332
"432","Lenoir-Rhyne College","Hickory","North Carolina","28603",400,16,1,18,7,358
"1058","Wayne State College","Wayne","Nebraska","68787",399,5,1,3,7,383
"344","High Point University","High Point","North Carolina","27262",398,38,1,12,11,336
"927","University of Minnesota - Morris","Morris","Minnesota","56267",398,2,24,9,7,356
"151","Charleston Southern University","Charleston","South Carolina","29411",397,89,1,12,11,284
"316","Goshen College","Goshen","Indiana","46526",397,10,1,5,20,361
"1070","West Virginia University Institute of Technology","Montgomery","West Virginia","25136",396,22,1,7,5,361
"824","Texas Lutheran University","Seguin","Texas","78155",394,43,1,6,83,261
"1085","Westfield State College","Westfield","Massachusetts","1086",394,13,1,11,12,357
"15","Amherst College","Amherst","Massachusetts","1002",393,32,1,87,33,240
"595","Oklahoma Christian University of Science/Arts","Oklahoma City","Oklahoma","73136",393,13,16,16,7,341
"629","Plymouth State College","Plymouth","New Hampshire","3264",390,2,2,1,7,378
"338","Haverford College","Haverford","Pennsylvania","19041",389,23,2,45,21,298
"324","Grinnell College","Grinnell","Iowa","50112",388,8,2,35,22,321
"177","College of Our Lady of the Elms","Chicopee","Massachusetts","1013",387,19,2,12,40,314
"73","Bethel College (Mishawaka, IN)","Mishawaka","Indiana","46545",385,12,1,4,12,356
"768","St Michael's College","Colchester","Vermont","5439",385,1,2,6,7,369
"626","Philadelphia College of Textiles and Science","Philadelphia","Pennsylvania","19144",384,72,2,23,26,261
"472","Marietta College","Marietta","Ohio","45750",383,8,3,9,9,354
"37","Augusta State University","Augusta","Georgia","30910",381,80,2,24,13,262
"546","Neumann College","Aston","Pennsylvania","19014",381,57,1,5,13,305
"1108","Wittenberg University","Springfield","Ohio","45501",380,7,1,10,2,360
"1088","Westmont College","Santa Barbara","California","93108",379,11,11,56,45,256
"1090","Wheeling Jesuit University","Wheeling","West Virginia","26003",378,10,1,8,5,354
"610","Our Lady of the Lake College","Baton Rouge","Louisiana","70808",377,90,4,24,10,249
"707","Simpson College (Indianola, IA)","Indianola","Iowa","50125",377,3,2,9,5,358
"816","Tennessee Wesleyan College","Athens","Tennessee","37303",376,9,1,7,2,357
"771","St Peter's College","Jersey City","New Jersey","7306",370,88,1,53,84,144
"237","DeVry Institute of Tech (Kansas City, MO)","Kansas City","Missouri","64131",369,24,6,14,12,313
"422","Lakeland College","Sheboygan","Wisconsin","53082",366,10,5,24,5,322
"673","Roosevelt University","Chicago","Illinois","60605",365,40,1,66,51,207
"437","Limestone College","Gaffney","South Carolina","29340",362,135,1,3,8,215
"69","Berea College","Berea","Kentucky","40404",357,57,3,7,10,280
"593","Ohio Wesleyan University","Delaware","Ohio","43015",357,9,1,9,1,337
"739","Spalding University","Louisville","Kentucky","40203",353,49,1,10,5,288
"631","Point Park College","Pittsburgh","Pennsylvania","15222",350,50,1,4,3,292
"227","Davidson College","Davidson","North Carolina","28036",349,12,1,27,16,293
"345","Hobart William Smith Colleges","Geneva","New York","14456",349,5,1,21,10,312
"780","Stetson University","Deland","Florida","32720",349,14,1,12,35,287
"91","Briar Cliff College","Sioux City","Iowa","51104",348,10,4,5,17,312
"762","St Martin's College","Olympia","Washington","98503",346,12,7,42,16,269
"836","Trinity College (Hartford, CT)","Hartford","Connecticut","6106",346,29,1,37,26,253
"1072","West Virginia Wesleyan College","Buckhannon","West Virginia","26201",346,6,1,4,11,324
"783","Sul Ross State University (Alpine, TX)","","","",345,10,3,3,119,210
"533","Mount Mary College","Milwaukee","Wisconsin","53222",341,24,2,19,17,279
